jobs,lock,runtime_ns
1,aq,2517198
1,aq,2403014
1,aq,2413938
1,aq,2445057
1,aq,2395641
1,aq,2450457
1,aq,2416075
1,aq,2396704
1,aq,2388097
1,aq,2342292
1,aq,2392618
1,aq,2347646
1,aq,2399044
1,aq,2358944
1,aq,2378916
1,aq,2346412
1,aq,2357881
1,aq,2361789
1,aq,2367601
1,aq,2366152
1,aq,2361005
1,aq,2374045
1,aq,2360928
1,aq,2366369
1,aq,2364298
1,aq,2361335
1,aq,2361861
1,aq,2361788
1,aq,2361258
1,aq,2362828
1,aq,2360365
1,aq,2367223
1,aq,2348420
1,aq,2370150
1,aq,2364995
1,aq,2366378
1,aq,2453723
1,aq,2497680
1,aq,2540638
1,aq,2541169
1,aq,2728522
1,aq,2736724
1,aq,2740899
1,aq,2748375
1,aq,2737360
1,aq,2742521
1,aq,2735489
1,aq,2740345
1,aq,2736265
1,aq,2736480
2,aq,20992189
2,aq,18696852
2,aq,19347178
2,aq,19993361
2,aq,20108789
2,aq,18597842
2,aq,20587830
2,aq,18361094
2,aq,20887233
2,aq,19859751
2,aq,19350589
2,aq,17825915
2,aq,21358235
2,aq,20291007
2,aq,16421835
2,aq,19598821
2,aq,18913925
2,aq,19573160
2,aq,16909329
2,aq,19969715
2,aq,18821953
2,aq,19636792
2,aq,19426391
2,aq,20967810
2,aq,19087506
2,aq,19119438
2,aq,17606921
2,aq,20096357
2,aq,19703983
2,aq,18833565
2,aq,18480306
2,aq,18123774
2,aq,18364706
2,aq,18398822
2,aq,18924891
2,aq,18149408
2,aq,19733437
2,aq,17799426
2,aq,18624108
2,aq,19446535
2,aq,18973084
2,aq,19006125
2,aq,18131314
2,aq,18220321
2,aq,19228394
2,aq,20570283
2,aq,16661599
2,aq,20030382
2,aq,19794150
2,aq,19941123
4,aq,39145502
4,aq,34655521
4,aq,38153785
4,aq,41518672
4,aq,41490105
4,aq,43051948
4,aq,37243887
4,aq,43516872
4,aq,40740400
4,aq,44031699
4,aq,42354858
4,aq,45259848
4,aq,41680440
4,aq,43963052
4,aq,41892782
4,aq,44019921
4,aq,38661152
4,aq,43241845
4,aq,40706314
4,aq,43449317
4,aq,40835965
4,aq,43852052
4,aq,41458644
4,aq,44590116
4,aq,41894276
4,aq,43236078
4,aq,41510990
4,aq,43426132
4,aq,41923082
4,aq,43986823
4,aq,41586597
4,aq,42308227
4,aq,42063890
4,aq,43339021
4,aq,42510073
4,aq,44144095
4,aq,41003614
4,aq,43760725
4,aq,42195404
4,aq,43772160
4,aq,42007723
4,aq,43790323
4,aq,41468383
4,aq,44542218
4,aq,40197281
4,aq,43567297
4,aq,41904714
4,aq,44321335
4,aq,41061767
4,aq,43557674
6,aq,62126620
6,aq,65530428
6,aq,61741489
6,aq,64990073
6,aq,61884023
6,aq,62087613
6,aq,60688352
6,aq,64353040
6,aq,64778421
6,aq,65494174
6,aq,63555240
6,aq,64923930
6,aq,63486450
6,aq,65772427
6,aq,64612856
6,aq,64771037
6,aq,64833477
6,aq,64472193
6,aq,63657615
6,aq,63021445
6,aq,65858137
6,aq,65352401
6,aq,64148270
6,aq,62170532
6,aq,64461636
6,aq,64182068
6,aq,63978392
6,aq,63587773
6,aq,63099458
6,aq,64216305
6,aq,64592286
6,aq,64827210
6,aq,64592930
6,aq,62905299
6,aq,64368856
6,aq,64400920
6,aq,63383143
6,aq,63322558
6,aq,64636271
6,aq,64887305
6,aq,64753449
6,aq,62468676
6,aq,64037565
6,aq,64807811
6,aq,63061542
6,aq,63936078
6,aq,65234220
6,aq,62974411
6,aq,63388683
6,aq,65151321
8,aq,104946608
8,aq,81052143
8,aq,89797067
8,aq,82473161
8,aq,81695143
8,aq,80623898
8,aq,81039572
8,aq,79407985
8,aq,81071503
8,aq,79506157
8,aq,89507003
8,aq,76889821
8,aq,77665469
8,aq,80781445
8,aq,83097870
8,aq,82600203
8,aq,80011411
8,aq,81141314
8,aq,86909973
8,aq,80734754
8,aq,77903646
8,aq,77617904
8,aq,73018950
8,aq,78290370
8,aq,82283209
8,aq,79740942
8,aq,79020749
8,aq,79658161
8,aq,82970551
8,aq,79970554
8,aq,81700351
8,aq,81257878
8,aq,82060137
8,aq,79108302
8,aq,80626998
8,aq,82345361
8,aq,77440204
8,aq,83909075
8,aq,81308952
8,aq,80468925
8,aq,82078162
8,aq,80813649
8,aq,89103068
8,aq,80022630
8,aq,86910280
8,aq,82528716
8,aq,81859145
8,aq,77165899
8,aq,82164111
8,aq,81430411
10,aq,125534913
10,aq,101237061
10,aq,99408018
10,aq,106269357
10,aq,107507558
10,aq,96180832
10,aq,107749461
10,aq,105124668
10,aq,105226128
10,aq,99843940
10,aq,94867859
10,aq,106020822
10,aq,100715325
10,aq,89631407
10,aq,103179376
10,aq,96665609
10,aq,100077144
10,aq,108824955
10,aq,105624142
10,aq,102205714
10,aq,104462042
10,aq,90451532
10,aq,97313684
10,aq,104736672
10,aq,100383517
10,aq,107986561
10,aq,106867119
10,aq,102662969
10,aq,100510945
10,aq,97541955
10,aq,104616006
10,aq,100576356
10,aq,103173598
10,aq,107098842
10,aq,98076532
10,aq,102132252
10,aq,104529003
10,aq,101645255
10,aq,108038057
10,aq,98008040
10,aq,107476930
10,aq,108436157
10,aq,96611796
10,aq,100578717
10,aq,104869954
10,aq,104241517
10,aq,109440695
10,aq,121744054
10,aq,103826135
10,aq,103520875
