jobs,lock,runtime_ns
1,atomic,3551725
1,atomic,3448618
1,atomic,3380999
1,atomic,3408158
1,atomic,3378146
1,atomic,1475737
1,atomic,678403
1,atomic,724420
1,atomic,807069
1,atomic,721252
1,atomic,743375
1,atomic,752019
1,atomic,703045
1,atomic,694570
1,atomic,678268
1,atomic,676812
1,atomic,668623
1,atomic,673445
1,atomic,677803
1,atomic,667865
1,atomic,677728
1,atomic,669459
1,atomic,664920
1,atomic,667947
1,atomic,668679
1,atomic,666537
1,atomic,670571
1,atomic,668622
1,atomic,666404
1,atomic,667411
1,atomic,668582
1,atomic,665784
1,atomic,666972
1,atomic,674828
1,atomic,664648
1,atomic,668291
1,atomic,672780
1,atomic,699518
1,atomic,665990
1,atomic,667761
1,atomic,664314
1,atomic,668284
1,atomic,669179
1,atomic,693016
1,atomic,641145
1,atomic,767055
1,atomic,809350
1,atomic,753584
1,atomic,743163
1,atomic,762765
2,atomic,4880606
2,atomic,4931743
2,atomic,4946659
2,atomic,4527069
2,atomic,4743571
2,atomic,4511971
2,atomic,4618615
2,atomic,4484426
2,atomic,4846418
2,atomic,4556311
2,atomic,4557095
2,atomic,4499789
2,atomic,4753029
2,atomic,4495576
2,atomic,4505421
2,atomic,4498916
2,atomic,4409065
2,atomic,4451491
2,atomic,3851271
2,atomic,4531728
2,atomic,4416891
2,atomic,4455733
2,atomic,4432443
2,atomic,4500699
2,atomic,4644135
2,atomic,4519487
2,atomic,4537733
2,atomic,4465865
2,atomic,4502154
2,atomic,4547526
2,atomic,4646121
2,atomic,4763635
2,atomic,4465399
2,atomic,4670411
2,atomic,4700168
2,atomic,4763780
2,atomic,4572642
2,atomic,4881848
2,atomic,4731146
2,atomic,4702964
2,atomic,4540206
2,atomic,4895614
2,atomic,4406784
2,atomic,4642762
2,atomic,4703570
2,atomic,4809853
2,atomic,4671192
2,atomic,4753013
2,atomic,4499239
2,atomic,4956758
4,atomic,10398359
4,atomic,10210883
4,atomic,10282893
4,atomic,10436291
4,atomic,10216054
4,atomic,10232311
4,atomic,10296519
4,atomic,10379243
4,atomic,10498118
4,atomic,10153476
4,atomic,10067337
4,atomic,10344631
4,atomic,10411106
4,atomic,10127377
4,atomic,10286793
4,atomic,10276107
4,atomic,10394148
4,atomic,10256245
4,atomic,10431495
4,atomic,10427841
4,atomic,10183753
4,atomic,10425810
4,atomic,10236267
4,atomic,10650724
4,atomic,10132531
4,atomic,10563128
4,atomic,10366932
4,atomic,10595423
4,atomic,10346518
4,atomic,10320518
4,atomic,10512469
4,atomic,10221304
4,atomic,10263166
4,atomic,10411422
4,atomic,10238655
4,atomic,10416413
4,atomic,10452471
4,atomic,10337401
4,atomic,10357288
4,atomic,10545593
4,atomic,10268232
4,atomic,10541763
4,atomic,10338315
4,atomic,10187407
4,atomic,10426633
4,atomic,10436305
4,atomic,10457950
4,atomic,10395918
4,atomic,10199140
4,atomic,10367069
6,atomic,16458666
6,atomic,16554224
6,atomic,16608197
