jobs,lock,runtime_ns
1,backoff-0-100,5200397
1,backoff-0-100,1059489
1,backoff-0-100,981405
1,backoff-0-100,974496
1,backoff-0-100,928467
1,backoff-0-100,928470
1,backoff-0-100,1032431
1,backoff-0-100,956569
1,backoff-0-100,986235
1,backoff-0-100,974354
1,backoff-0-100,975613
1,backoff-0-100,1042645
1,backoff-0-100,1057287
1,backoff-0-100,1038527
1,backoff-0-100,1053062
1,backoff-0-100,1068046
1,backoff-0-100,1130737
1,backoff-0-100,1135045
1,backoff-0-100,1131953
1,backoff-0-100,1128451
1,backoff-0-100,1206150
1,backoff-0-100,1231881
1,backoff-0-100,1226440
1,backoff-0-100,1228175
1,backoff-0-100,1314854
1,backoff-0-100,1315536
1,backoff-0-100,1343532
1,backoff-0-100,1346746
1,backoff-0-100,1507815
1,backoff-0-100,1488723
1,backoff-0-100,1493302
1,backoff-0-100,1589524
1,backoff-0-100,1653820
1,backoff-0-100,1683782
1,backoff-0-100,1667010
1,backoff-0-100,1654730
1,backoff-0-100,1681859
1,backoff-0-100,1631894
1,backoff-0-100,1656279
1,backoff-0-100,1670571
1,backoff-0-100,1681801
1,backoff-0-100,1656196
1,backoff-0-100,1675618
1,backoff-0-100,1675171
1,backoff-0-100,1655651
1,backoff-0-100,1686534
1,backoff-0-100,1663231
1,backoff-0-100,1657173
1,backoff-0-100,1677398
1,backoff-0-100,1660385
2,backoff-0-100,9529449
2,backoff-0-100,3619921
2,backoff-0-100,5927340
2,backoff-0-100,3742980
2,backoff-0-100,6097104
2,backoff-0-100,3730608
2,backoff-0-100,6059534
2,backoff-0-100,5457632
2,backoff-0-100,11344320
2,backoff-0-100,4119127
2,backoff-0-100,5813466
2,backoff-0-100,3408017
2,backoff-0-100,5595627
2,backoff-0-100,3152402
2,backoff-0-100,5452213
2,backoff-0-100,3953305
2,backoff-0-100,6897566
2,backoff-0-100,3205108
2,backoff-0-100,6555431
2,backoff-0-100,4020110
2,backoff-0-100,6472743
2,backoff-0-100,2899476
2,backoff-0-100,5241808
2,backoff-0-100,3711925
2,backoff-0-100,5406853
2,backoff-0-100,3741728
2,backoff-0-100,5484394
2,backoff-0-100,3191123
2,backoff-0-100,10680174
2,backoff-0-100,3881376
2,backoff-0-100,14447318
2,backoff-0-100,3403936
2,backoff-0-100,6443067
2,backoff-0-100,3081939
2,backoff-0-100,5332747
2,backoff-0-100,3379180
2,backoff-0-100,5367161
2,backoff-0-100,5440239
2,backoff-0-100,6963689
2,backoff-0-100,5546971
2,backoff-0-100,5330115
2,backoff-0-100,4071056
2,backoff-0-100,5026178
2,backoff-0-100,4145692
2,backoff-0-100,5294967
2,backoff-0-100,5229349
2,backoff-0-100,7798733
2,backoff-0-100,5472759
2,backoff-0-100,9677685
2,backoff-0-100,5216570
4,backoff-0-100,17082057
4,backoff-0-100,24444355
4,backoff-0-100,17183668
4,backoff-0-100,24025025
4,backoff-0-100,18287367
4,backoff-0-100,23235146
4,backoff-0-100,17637056
4,backoff-0-100,24489563
4,backoff-0-100,19394821
4,backoff-0-100,26466186
4,backoff-0-100,25670076
4,backoff-0-100,22893863
4,backoff-0-100,19565447
4,backoff-0-100,24653741
4,backoff-0-100,19885190
4,backoff-0-100,25129986
4,backoff-0-100,19632494
4,backoff-0-100,23036754
4,backoff-0-100,21220893
4,backoff-0-100,23479094
4,backoff-0-100,20234085
4,backoff-0-100,22524124
4,backoff-0-100,19896452
4,backoff-0-100,23699015
4,backoff-0-100,20145356
4,backoff-0-100,23314281
4,backoff-0-100,19687293
4,backoff-0-100,22624222
4,backoff-0-100,17446665
4,backoff-0-100,24552170
4,backoff-0-100,20860472
4,backoff-0-100,24370112
4,backoff-0-100,20889605
4,backoff-0-100,23086840
4,backoff-0-100,18055913
4,backoff-0-100,22733012
4,backoff-0-100,20193547
4,backoff-0-100,22711338
4,backoff-0-100,17986868
4,backoff-0-100,24513639
4,backoff-0-100,19487229
4,backoff-0-100,23552900
4,backoff-0-100,31866920
4,backoff-0-100,24548271
4,backoff-0-100,18717002
4,backoff-0-100,24447127
4,backoff-0-100,17212744
4,backoff-0-100,23789677
4,backoff-0-100,19128508
4,backoff-0-100,23857916
6,backoff-0-100,47856549
6,backoff-0-100,52326802
6,backoff-0-100,46290282
6,backoff-0-100,53096795
6,backoff-0-100,48154682
6,backoff-0-100,52541798
6,backoff-0-100,49735948
6,backoff-0-100,53736715
6,backoff-0-100,49120130
6,backoff-0-100,53212308
6,backoff-0-100,49044696
6,backoff-0-100,52859585
6,backoff-0-100,51541952
6,backoff-0-100,53338095
6,backoff-0-100,49362515
6,backoff-0-100,54099360
6,backoff-0-100,48642950
6,backoff-0-100,53851011
6,backoff-0-100,50501345
6,backoff-0-100,52883121
6,backoff-0-100,48275145
6,backoff-0-100,52734851
6,backoff-0-100,48573169
6,backoff-0-100,53387972
6,backoff-0-100,49606344
6,backoff-0-100,51952185
6,backoff-0-100,48677783
6,backoff-0-100,53272515
6,backoff-0-100,48708754
6,backoff-0-100,52241151
6,backoff-0-100,50431542
6,backoff-0-100,53011073
6,backoff-0-100,47620464
6,backoff-0-100,52163124
6,backoff-0-100,47224254
6,backoff-0-100,53566151
6,backoff-0-100,48140287
6,backoff-0-100,53289027
6,backoff-0-100,48367471
6,backoff-0-100,53414245
6,backoff-0-100,49059635
6,backoff-0-100,53721716
6,backoff-0-100,48324373
6,backoff-0-100,53475080
6,backoff-0-100,47730371
6,backoff-0-100,52500196
6,backoff-0-100,47695146
6,backoff-0-100,53355954
6,backoff-0-100,49412876
6,backoff-0-100,54404292
8,backoff-0-100,105993468
8,backoff-0-100,94488276
8,backoff-0-100,92475222
8,backoff-0-100,92717028
8,backoff-0-100,94109811
8,backoff-0-100,92215139
8,backoff-0-100,92964196
8,backoff-0-100,93137035
8,backoff-0-100,93623411
8,backoff-0-100,93515534
8,backoff-0-100,91320762
8,backoff-0-100,91163043
8,backoff-0-100,92524942
8,backoff-0-100,92787274
8,backoff-0-100,92796084
8,backoff-0-100,92289630
8,backoff-0-100,91932942
8,backoff-0-100,92837305
8,backoff-0-100,93309192
8,backoff-0-100,94654233
8,backoff-0-100,109401313
8,backoff-0-100,94795333
8,backoff-0-100,93001112
8,backoff-0-100,92635608
8,backoff-0-100,95174748
8,backoff-0-100,92729213
8,backoff-0-100,92545438
8,backoff-0-100,92255107
8,backoff-0-100,92947772
8,backoff-0-100,94725771
8,backoff-0-100,92688845
8,backoff-0-100,94910472
8,backoff-0-100,93404257
8,backoff-0-100,93397690
8,backoff-0-100,93179027
8,backoff-0-100,91620631
8,backoff-0-100,92465722
8,backoff-0-100,94510176
8,backoff-0-100,93774582
8,backoff-0-100,92775626
8,backoff-0-100,112659980
8,backoff-0-100,95190378
8,backoff-0-100,94149660
8,backoff-0-100,92411003
8,backoff-0-100,94768688
8,backoff-0-100,92710472
8,backoff-0-100,110468290
8,backoff-0-100,93709001
8,backoff-0-100,93662070
8,backoff-0-100,92576356
10,backoff-0-100,116141228
10,backoff-0-100,111993211
10,backoff-0-100,100791921
10,backoff-0-100,112847425
10,backoff-0-100,102609264
10,backoff-0-100,113656074
10,backoff-0-100,103084383
10,backoff-0-100,113734171
10,backoff-0-100,102338006
10,backoff-0-100,112542955
10,backoff-0-100,105698521
10,backoff-0-100,113726961
10,backoff-0-100,98942942
10,backoff-0-100,112428019
10,backoff-0-100,103060551
10,backoff-0-100,113081131
10,backoff-0-100,103464831
10,backoff-0-100,114479423
10,backoff-0-100,102776915
10,backoff-0-100,112922517
10,backoff-0-100,105806699
10,backoff-0-100,114518020
10,backoff-0-100,99740311
10,backoff-0-100,113712379
10,backoff-0-100,104645235
10,backoff-0-100,113079421
10,backoff-0-100,99480073
10,backoff-0-100,111518801
10,backoff-0-100,102475016
10,backoff-0-100,112607392
10,backoff-0-100,106441622
10,backoff-0-100,112064862
10,backoff-0-100,104711519
10,backoff-0-100,114458181
10,backoff-0-100,102410315
10,backoff-0-100,111894355
10,backoff-0-100,103722138
10,backoff-0-100,110482175
10,backoff-0-100,101861588
10,backoff-0-100,113020965
10,backoff-0-100,103188419
10,backoff-0-100,113598756
10,backoff-0-100,117677511
10,backoff-0-100,112150464
10,backoff-0-100,103522918
10,backoff-0-100,115437594
10,backoff-0-100,105032168
10,backoff-0-100,111367416
10,backoff-0-100,97728146
10,backoff-0-100,111537619
