jobs,lock,runtime_ns
1,backoff-100-400,1667246
1,backoff-100-400,1587991
1,backoff-100-400,1535906
1,backoff-100-400,1594677
1,backoff-100-400,1533892
1,backoff-100-400,1593730
1,backoff-100-400,1581457
1,backoff-100-400,1532694
1,backoff-100-400,1588506
1,backoff-100-400,1533346
1,backoff-100-400,1577635
1,backoff-100-400,1516190
1,backoff-100-400,1565364
1,backoff-100-400,1537591
1,backoff-100-400,1578533
1,backoff-100-400,1561190
1,backoff-100-400,1509151
1,backoff-100-400,1559413
1,backoff-100-400,1507515
1,backoff-100-400,1556661
1,backoff-100-400,1522444
1,backoff-100-400,1558256
1,backoff-100-400,1536799
1,backoff-100-400,1582644
1,backoff-100-400,1529662
1,backoff-100-400,1561148
1,backoff-100-400,1561627
1,backoff-100-400,1513551
1,backoff-100-400,1568526
1,backoff-100-400,1517733
1,backoff-100-400,1556222
1,backoff-100-400,1533696
1,backoff-100-400,1551327
1,backoff-100-400,1520893
1,backoff-100-400,1560540
1,backoff-100-400,1483279
1,backoff-100-400,1562204
1,backoff-100-400,1529816
1,backoff-100-400,1526301
1,backoff-100-400,1556955
1,backoff-100-400,1533842
1,backoff-100-400,1573394
1,backoff-100-400,1553966
1,backoff-100-400,1594054
1,backoff-100-400,1540180
1,backoff-100-400,1607825
1,backoff-100-400,1552102
1,backoff-100-400,1565020
1,backoff-100-400,1574261
1,backoff-100-400,1580498
2,backoff-100-400,2967705
2,backoff-100-400,3198881
2,backoff-100-400,3144251
2,backoff-100-400,3275444
2,backoff-100-400,3454365
2,backoff-100-400,3467339
2,backoff-100-400,3646106
2,backoff-100-400,3843887
2,backoff-100-400,3795721
2,backoff-100-400,3906868
2,backoff-100-400,3711480
2,backoff-100-400,4309155
2,backoff-100-400,4102893
2,backoff-100-400,4374367
2,backoff-100-400,4151102
2,backoff-100-400,4273954
2,backoff-100-400,4247556
2,backoff-100-400,4316301
2,backoff-100-400,4242167
2,backoff-100-400,4302169
2,backoff-100-400,4249710
2,backoff-100-400,4307920
2,backoff-100-400,4165768
2,backoff-100-400,4362942
2,backoff-100-400,4150115
2,backoff-100-400,4348768
2,backoff-100-400,4100407
2,backoff-100-400,4316789
2,backoff-100-400,4126640
2,backoff-100-400,4344935
2,backoff-100-400,4167235
2,backoff-100-400,4336131
2,backoff-100-400,4122356
2,backoff-100-400,4257203
2,backoff-100-400,4102225
2,backoff-100-400,4222624
2,backoff-100-400,4131847
2,backoff-100-400,4329344
2,backoff-100-400,4190335
2,backoff-100-400,4305414
2,backoff-100-400,4096650
2,backoff-100-400,4317897
2,backoff-100-400,4263736
2,backoff-100-400,4296383
2,backoff-100-400,4228350
2,backoff-100-400,4327958
2,backoff-100-400,4234829
2,backoff-100-400,4278799
2,backoff-100-400,4113366
2,backoff-100-400,4352445
4,backoff-100-400,12223434
4,backoff-100-400,12136290
4,backoff-100-400,8681072
4,backoff-100-400,7935159
4,backoff-100-400,7190340
4,backoff-100-400,7775002
4,backoff-100-400,8268497
4,backoff-100-400,7890424
4,backoff-100-400,7468860
4,backoff-100-400,7998451
4,backoff-100-400,8169638
4,backoff-100-400,8055321
4,backoff-100-400,8250807
4,backoff-100-400,7902260
4,backoff-100-400,8246682
4,backoff-100-400,7883323
4,backoff-100-400,7834741
4,backoff-100-400,7849182
4,backoff-100-400,7378991
4,backoff-100-400,7967469
4,backoff-100-400,8217194
4,backoff-100-400,7880506
4,backoff-100-400,7645529
4,backoff-100-400,7852409
4,backoff-100-400,7431190
4,backoff-100-400,7849340
4,backoff-100-400,8351136
4,backoff-100-400,7841136
4,backoff-100-400,8154642
4,backoff-100-400,8018214
4,backoff-100-400,7560540
4,backoff-100-400,7964208
4,backoff-100-400,7452164
4,backoff-100-400,7926243
4,backoff-100-400,7960249
4,backoff-100-400,7917047
4,backoff-100-400,8270957
4,backoff-100-400,7952552
4,backoff-100-400,7518703
4,backoff-100-400,7935517
4,backoff-100-400,7466421
4,backoff-100-400,7939686
4,backoff-100-400,8384388
4,backoff-100-400,7999105
4,backoff-100-400,7489204
4,backoff-100-400,7862764
4,backoff-100-400,7540753
4,backoff-100-400,8024535
4,backoff-100-400,7607031
4,backoff-100-400,7887066
6,backoff-100-400,17192488
6,backoff-100-400,17190636
6,backoff-100-400,17120744
6,backoff-100-400,17377196
6,backoff-100-400,16875299
6,backoff-100-400,17135391
6,backoff-100-400,15872163
6,backoff-100-400,16115262
6,backoff-100-400,15673510
6,backoff-100-400,16127428
6,backoff-100-400,15262501
6,backoff-100-400,16026404
6,backoff-100-400,15601315
6,backoff-100-400,16092843
6,backoff-100-400,15402594
6,backoff-100-400,15908954
6,backoff-100-400,15283434
6,backoff-100-400,15973830
6,backoff-100-400,15544956
6,backoff-100-400,16070114
6,backoff-100-400,15764823
6,backoff-100-400,15848483
6,backoff-100-400,15549151
6,backoff-100-400,16123764
6,backoff-100-400,15350211
6,backoff-100-400,16125808
6,backoff-100-400,15482883
6,backoff-100-400,16058482
6,backoff-100-400,15435787
6,backoff-100-400,16049316
6,backoff-100-400,15563289
6,backoff-100-400,16045059
6,backoff-100-400,15544706
6,backoff-100-400,16049003
6,backoff-100-400,15425555
6,backoff-100-400,16225586
6,backoff-100-400,14915358
6,backoff-100-400,16140717
6,backoff-100-400,15382179
6,backoff-100-400,16053467
6,backoff-100-400,15290919
6,backoff-100-400,16162591
6,backoff-100-400,15611707
6,backoff-100-400,16022891
6,backoff-100-400,15131766
6,backoff-100-400,15982173
6,backoff-100-400,15351353
6,backoff-100-400,16101556
6,backoff-100-400,15641892
6,backoff-100-400,16127141
8,backoff-100-400,24669545
8,backoff-100-400,24540589
8,backoff-100-400,24994114
8,backoff-100-400,24554462
8,backoff-100-400,25202594
8,backoff-100-400,24939745
8,backoff-100-400,25106646
8,backoff-100-400,25120588
8,backoff-100-400,24422296
8,backoff-100-400,25031092
8,backoff-100-400,24751906
8,backoff-100-400,24560008
8,backoff-100-400,24964801
8,backoff-100-400,24482592
8,backoff-100-400,24717756
8,backoff-100-400,25229496
8,backoff-100-400,24230665
8,backoff-100-400,25983526
8,backoff-100-400,26771263
8,backoff-100-400,24382231
8,backoff-100-400,24992801
8,backoff-100-400,24325730
8,backoff-100-400,25741135
8,backoff-100-400,25733559
8,backoff-100-400,25981100
8,backoff-100-400,24281209
8,backoff-100-400,25580744
8,backoff-100-400,24545814
8,backoff-100-400,25393856
8,backoff-100-400,24693734
8,backoff-100-400,24994207
8,backoff-100-400,25155776
8,backoff-100-400,25048391
8,backoff-100-400,25014425
8,backoff-100-400,25292468
8,backoff-100-400,24799735
8,backoff-100-400,25310320
8,backoff-100-400,24575827
8,backoff-100-400,25328396
8,backoff-100-400,25058562
8,backoff-100-400,24154859
8,backoff-100-400,25105037
8,backoff-100-400,23887062
8,backoff-100-400,24591840
8,backoff-100-400,24014767
8,backoff-100-400,24890571
8,backoff-100-400,24138378
8,backoff-100-400,24770412
8,backoff-100-400,24253556
8,backoff-100-400,24929031
10,backoff-100-400,38983846
10,backoff-100-400,35695701
10,backoff-100-400,37106250
10,backoff-100-400,35357017
10,backoff-100-400,37599292
10,backoff-100-400,35456292
10,backoff-100-400,37084511
10,backoff-100-400,35962971
10,backoff-100-400,37004266
10,backoff-100-400,35454672
10,backoff-100-400,37242514
10,backoff-100-400,37028252
10,backoff-100-400,39357558
10,backoff-100-400,36454022
10,backoff-100-400,37155472
10,backoff-100-400,35541783
10,backoff-100-400,37246375
10,backoff-100-400,36253323
10,backoff-100-400,37285401
10,backoff-100-400,36316835
10,backoff-100-400,37504182
10,backoff-100-400,36944904
10,backoff-100-400,36763756
10,backoff-100-400,35391547
10,backoff-100-400,37070116
10,backoff-100-400,35732719
10,backoff-100-400,37226987
10,backoff-100-400,35841705
10,backoff-100-400,37382393
10,backoff-100-400,35761377
10,backoff-100-400,37077547
10,backoff-100-400,36017441
10,backoff-100-400,37296319
10,backoff-100-400,35966812
10,backoff-100-400,36845715
10,backoff-100-400,35273545
10,backoff-100-400,37044851
10,backoff-100-400,35402138
10,backoff-100-400,37199531
10,backoff-100-400,36566071
10,backoff-100-400,36824767
10,backoff-100-400,35897954
10,backoff-100-400,37181204
10,backoff-100-400,36573882
10,backoff-100-400,36956251
10,backoff-100-400,36355660
10,backoff-100-400,37342679
10,backoff-100-400,36481587
10,backoff-100-400,36551867
10,backoff-100-400,36441221
