jobs,lock,runtime_ns
1,backoff-0-100,1638733
1,backoff-0-100,1550393
1,backoff-0-100,1584334
1,backoff-0-100,1582065
1,backoff-0-100,1647712
1,backoff-0-100,1701918
1,backoff-0-100,1697665
1,backoff-0-100,1805554
1,backoff-0-100,1843696
1,backoff-0-100,1843504
1,backoff-0-100,1990734
1,backoff-0-100,2014635
1,backoff-0-100,2077534
1,backoff-0-100,2212290
1,backoff-0-100,2218482
1,backoff-0-100,2430174
1,backoff-0-100,2439067
1,backoff-0-100,2438601
1,backoff-0-100,2444600
1,backoff-0-100,2444163
1,backoff-0-100,2436593
1,backoff-0-100,2451643
1,backoff-0-100,2436943
1,backoff-0-100,2442396
1,backoff-0-100,2426526
1,backoff-0-100,2445991
1,backoff-0-100,2443679
1,backoff-0-100,2437602
1,backoff-0-100,2438960
1,backoff-0-100,2436496
1,backoff-0-100,2448059
1,backoff-0-100,2433986
1,backoff-0-100,2433435
1,backoff-0-100,2451765
1,backoff-0-100,2434598
1,backoff-0-100,2437451
1,backoff-0-100,2446298
1,backoff-0-100,2403116
1,backoff-0-100,2423438
1,backoff-0-100,2442441
1,backoff-0-100,2447667
1,backoff-0-100,2436488
1,backoff-0-100,2434574
1,backoff-0-100,2443757
1,backoff-0-100,2423966
1,backoff-0-100,2439378
1,backoff-0-100,2436969
1,backoff-0-100,2432669
1,backoff-0-100,2441596
1,backoff-0-100,2409528
2,backoff-0-100,6538041
2,backoff-0-100,3931885
2,backoff-0-100,3622858
2,backoff-0-100,4009647
2,backoff-0-100,3379312
2,backoff-0-100,4266859
2,backoff-0-100,3479021
2,backoff-0-100,4141635
2,backoff-0-100,3420500
2,backoff-0-100,3951655
2,backoff-0-100,3410196
2,backoff-0-100,4090752
2,backoff-0-100,3438901
2,backoff-0-100,3961780
2,backoff-0-100,3478638
2,backoff-0-100,4052282
2,backoff-0-100,3397708
2,backoff-0-100,4058492
2,backoff-0-100,3360344
2,backoff-0-100,4131206
2,backoff-0-100,3468034
2,backoff-0-100,3992466
2,backoff-0-100,3357733
2,backoff-0-100,4106977
2,backoff-0-100,3406745
2,backoff-0-100,4075001
2,backoff-0-100,3828753
2,backoff-0-100,3752773
2,backoff-0-100,3650472
2,backoff-0-100,3822983
2,backoff-0-100,3680243
2,backoff-0-100,3653908
2,backoff-0-100,3607275
2,backoff-0-100,4082844
2,backoff-0-100,3687659
2,backoff-0-100,3701587
2,backoff-0-100,3592329
2,backoff-0-100,4136349
2,backoff-0-100,3486108
2,backoff-0-100,4019247
2,backoff-0-100,3696981
2,backoff-0-100,3784313
2,backoff-0-100,3522850
2,backoff-0-100,3873064
2,backoff-0-100,3473791
2,backoff-0-100,3845142
2,backoff-0-100,3493400
2,backoff-0-100,3904138
2,backoff-0-100,3660964
2,backoff-0-100,3724831
4,backoff-0-100,12240878
4,backoff-0-100,12081987
4,backoff-0-100,13046080
4,backoff-0-100,12567725
4,backoff-0-100,13816978
4,backoff-0-100,12605375
4,backoff-0-100,13454283
4,backoff-0-100,12455324
4,backoff-0-100,13815567
4,backoff-0-100,12509941
4,backoff-0-100,13733133
4,backoff-0-100,12355259
4,backoff-0-100,13579154
4,backoff-0-100,11695207
4,backoff-0-100,12975429
4,backoff-0-100,12272787
4,backoff-0-100,13976932
4,backoff-0-100,12709628
4,backoff-0-100,13415085
4,backoff-0-100,11697102
4,backoff-0-100,12726066
4,backoff-0-100,12763133
4,backoff-0-100,13391028
4,backoff-0-100,12098419
4,backoff-0-100,13278573
4,backoff-0-100,11650052
4,backoff-0-100,13284434
4,backoff-0-100,12343020
4,backoff-0-100,13368741
4,backoff-0-100,11764432
4,backoff-0-100,13215357
4,backoff-0-100,12414613
4,backoff-0-100,13127266
4,backoff-0-100,12091434
4,backoff-0-100,12753972
4,backoff-0-100,11627796
4,backoff-0-100,12123176
4,backoff-0-100,12283227
4,backoff-0-100,13552905
4,backoff-0-100,12619727
4,backoff-0-100,13536915
4,backoff-0-100,12478417
4,backoff-0-100,13821301
4,backoff-0-100,12596044
4,backoff-0-100,13639457
4,backoff-0-100,12509455
4,backoff-0-100,13434750
4,backoff-0-100,12522637
4,backoff-0-100,13986855
4,backoff-0-100,12736472
6,backoff-0-100,28645623
6,backoff-0-100,26512080
6,backoff-0-100,29000426
6,backoff-0-100,26876594
6,backoff-0-100,27717673
6,backoff-0-100,26741331
6,backoff-0-100,28850218
6,backoff-0-100,27114284
6,backoff-0-100,28254974
6,backoff-0-100,26892248
6,backoff-0-100,27855824
6,backoff-0-100,26919372
6,backoff-0-100,28722218
6,backoff-0-100,27354292
6,backoff-0-100,28291832
6,backoff-0-100,26909969
6,backoff-0-100,28055111
6,backoff-0-100,26975932
6,backoff-0-100,27978205
6,backoff-0-100,27169867
6,backoff-0-100,28112535
6,backoff-0-100,27128340
6,backoff-0-100,28076846
6,backoff-0-100,27234024
6,backoff-0-100,28638982
6,backoff-0-100,27147567
6,backoff-0-100,28078789
6,backoff-0-100,27167302
6,backoff-0-100,28245964
6,backoff-0-100,26908621
6,backoff-0-100,28524348
6,backoff-0-100,26937792
6,backoff-0-100,28122556
6,backoff-0-100,27365242
6,backoff-0-100,28278211
6,backoff-0-100,27264124
6,backoff-0-100,28678874
6,backoff-0-100,27038122
6,backoff-0-100,28281205
6,backoff-0-100,26986104
6,backoff-0-100,27782548
6,backoff-0-100,26951950
6,backoff-0-100,28110813
6,backoff-0-100,27124829
6,backoff-0-100,27916993
6,backoff-0-100,27075241
6,backoff-0-100,28310940
6,backoff-0-100,27079774
6,backoff-0-100,27979804
6,backoff-0-100,27180210
8,backoff-0-100,48542888
8,backoff-0-100,44810110
8,backoff-0-100,42434858
8,backoff-0-100,45286320
8,backoff-0-100,42083904
8,backoff-0-100,43883608
8,backoff-0-100,41376822
8,backoff-0-100,44983139
8,backoff-0-100,43039407
8,backoff-0-100,45146635
8,backoff-0-100,41767838
8,backoff-0-100,44024263
8,backoff-0-100,41522483
8,backoff-0-100,44183799
8,backoff-0-100,41788215
8,backoff-0-100,44302545
8,backoff-0-100,43706623
8,backoff-0-100,44303060
8,backoff-0-100,42182734
8,backoff-0-100,44395682
8,backoff-0-100,41660277
8,backoff-0-100,44346484
8,backoff-0-100,48737340
8,backoff-0-100,48425428
8,backoff-0-100,42298030
8,backoff-0-100,45908688
8,backoff-0-100,42928295
8,backoff-0-100,45838435
8,backoff-0-100,42182311
8,backoff-0-100,45345312
8,backoff-0-100,42224641
8,backoff-0-100,46052309
8,backoff-0-100,42749130
8,backoff-0-100,44851156
8,backoff-0-100,42653471
8,backoff-0-100,44399113
8,backoff-0-100,41580754
8,backoff-0-100,44359663
8,backoff-0-100,48193052
8,backoff-0-100,44166368
8,backoff-0-100,42187349
8,backoff-0-100,44663942
8,backoff-0-100,42410702
8,backoff-0-100,44590793
8,backoff-0-100,43016955
8,backoff-0-100,44620236
8,backoff-0-100,41254868
8,backoff-0-100,44540491
8,backoff-0-100,41086609
8,backoff-0-100,44295401
10,backoff-0-100,88691402
10,backoff-0-100,67900685
10,backoff-0-100,73099105
10,backoff-0-100,65453305
10,backoff-0-100,75149172
10,backoff-0-100,67402847
10,backoff-0-100,74049909
10,backoff-0-100,66041934
10,backoff-0-100,74823834
10,backoff-0-100,65690242
10,backoff-0-100,74206537
10,backoff-0-100,67990839
10,backoff-0-100,74444973
10,backoff-0-100,66130645
10,backoff-0-100,75287303
10,backoff-0-100,68445646
10,backoff-0-100,74626717
10,backoff-0-100,65838408
10,backoff-0-100,73270853
10,backoff-0-100,66572426
10,backoff-0-100,71648593
10,backoff-0-100,65789629
10,backoff-0-100,72239974
10,backoff-0-100,64628105
10,backoff-0-100,71919791
10,backoff-0-100,66640414
10,backoff-0-100,71920419
10,backoff-0-100,66253359
10,backoff-0-100,73671219
10,backoff-0-100,67239476
10,backoff-0-100,73455933
10,backoff-0-100,66220164
10,backoff-0-100,73286440
10,backoff-0-100,66063120
10,backoff-0-100,72420031
10,backoff-0-100,66040161
10,backoff-0-100,72914536
10,backoff-0-100,66172337
10,backoff-0-100,74776811
10,backoff-0-100,67229214
10,backoff-0-100,73104070
10,backoff-0-100,66145350
10,backoff-0-100,73989255
10,backoff-0-100,66044749
10,backoff-0-100,74512835
10,backoff-0-100,67951115
10,backoff-0-100,73488709
10,backoff-0-100,66543710
10,backoff-0-100,73539142
10,backoff-0-100,67010765
1,backoff-1000-8000,1593799
1,backoff-1000-8000,1627541
1,backoff-1000-8000,1542025
1,backoff-1000-8000,1594538
1,backoff-1000-8000,1607860
1,backoff-1000-8000,1557756
1,backoff-1000-8000,1617955
1,backoff-1000-8000,1567655
1,backoff-1000-8000,1639105
1,backoff-1000-8000,1591160
1,backoff-1000-8000,1522455
1,backoff-1000-8000,1519043
1,backoff-1000-8000,1551781
1,backoff-1000-8000,1521284
1,backoff-1000-8000,1554800
1,backoff-1000-8000,1554705
1,backoff-1000-8000,1554376
1,backoff-1000-8000,1555043
1,backoff-1000-8000,1565947
1,backoff-1000-8000,1513979
1,backoff-1000-8000,1586228
1,backoff-1000-8000,1521583
1,backoff-1000-8000,1588119
1,backoff-1000-8000,1570415
1,backoff-1000-8000,1589556
1,backoff-1000-8000,1558771
1,backoff-1000-8000,1542644
1,backoff-1000-8000,1516644
1,backoff-1000-8000,1553205
1,backoff-1000-8000,1517914
1,backoff-1000-8000,1551206
1,backoff-1000-8000,1609047
1,backoff-1000-8000,1558517
1,backoff-1000-8000,1588252
1,backoff-1000-8000,1615705
1,backoff-1000-8000,1621554
1,backoff-1000-8000,1625147
1,backoff-1000-8000,1620766
1,backoff-1000-8000,1613199
1,backoff-1000-8000,1623590
1,backoff-1000-8000,1753350
1,backoff-1000-8000,1735190
1,backoff-1000-8000,1754980
1,backoff-1000-8000,1753085
1,backoff-1000-8000,1748530
1,backoff-1000-8000,1886671
1,backoff-1000-8000,1862444
1,backoff-1000-8000,1896755
1,backoff-1000-8000,1894713
1,backoff-1000-8000,1911028
2,backoff-1000-8000,4010337
2,backoff-1000-8000,4290782
2,backoff-1000-8000,4344340
2,backoff-1000-8000,4774828
2,backoff-1000-8000,4868870
2,backoff-1000-8000,5535615
2,backoff-1000-8000,5605850
2,backoff-1000-8000,5581619
2,backoff-1000-8000,5638061
2,backoff-1000-8000,5604125
2,backoff-1000-8000,5628972
2,backoff-1000-8000,5585892
2,backoff-1000-8000,5628535
2,backoff-1000-8000,5594162
2,backoff-1000-8000,5667919
2,backoff-1000-8000,5632100
2,backoff-1000-8000,5618210
2,backoff-1000-8000,5595171
2,backoff-1000-8000,5604611
2,backoff-1000-8000,5581475
2,backoff-1000-8000,5636730
2,backoff-1000-8000,5626716
2,backoff-1000-8000,5639509
2,backoff-1000-8000,5587162
2,backoff-1000-8000,5605403
2,backoff-1000-8000,5612720
2,backoff-1000-8000,5613863
2,backoff-1000-8000,5614010
2,backoff-1000-8000,5624214
2,backoff-1000-8000,5567233
2,backoff-1000-8000,5635489
2,backoff-1000-8000,5581047
2,backoff-1000-8000,5621442
2,backoff-1000-8000,5587913
