jobs,lock,runtime_ns
1,backoff-25-100,1021060
1,backoff-25-100,963755
1,backoff-25-100,967230
1,backoff-25-100,980895
1,backoff-25-100,937974
1,backoff-25-100,949075
1,backoff-25-100,987339
1,backoff-25-100,971887
1,backoff-25-100,973064
1,backoff-25-100,967291
1,backoff-25-100,973199
1,backoff-25-100,969281
1,backoff-25-100,971060
1,backoff-25-100,992897
1,backoff-25-100,987789
1,backoff-25-100,968263
1,backoff-25-100,974720
1,backoff-25-100,1003179
1,backoff-25-100,960520
1,backoff-25-100,967975
1,backoff-25-100,930093
1,backoff-25-100,962027
1,backoff-25-100,964113
1,backoff-25-100,982961
1,backoff-25-100,966570
1,backoff-25-100,971167
1,backoff-25-100,966601
1,backoff-25-100,984181
1,backoff-25-100,970593
1,backoff-25-100,984046
1,backoff-25-100,967441
1,backoff-25-100,982927
1,backoff-25-100,966990
1,backoff-25-100,930449
1,backoff-25-100,972275
1,backoff-25-100,993446
1,backoff-25-100,980701
1,backoff-25-100,969609
1,backoff-25-100,976863
1,backoff-25-100,972397
1,backoff-25-100,964880
1,backoff-25-100,985524
1,backoff-25-100,970812
1,backoff-25-100,967875
1,backoff-25-100,973079
1,backoff-25-100,968858
1,backoff-25-100,970646
1,backoff-25-100,967792
1,backoff-25-100,999207
1,backoff-25-100,999464
2,backoff-25-100,2198086
2,backoff-25-100,3208667
2,backoff-25-100,2178622
2,backoff-25-100,3377533
2,backoff-25-100,2160688
2,backoff-25-100,3002277
2,backoff-25-100,2336730
2,backoff-25-100,3850762
2,backoff-25-100,3807620
2,backoff-25-100,3861770
2,backoff-25-100,2866938
2,backoff-25-100,4953808
2,backoff-25-100,3157461
2,backoff-25-100,5033694
2,backoff-25-100,3117434
2,backoff-25-100,4823232
2,backoff-25-100,3137209
2,backoff-25-100,5122289
2,backoff-25-100,3680431
2,backoff-25-100,4648316
2,backoff-25-100,4151728
2,backoff-25-100,7390416
2,backoff-25-100,4837908
2,backoff-25-100,5875080
2,backoff-25-100,6997660
2,backoff-25-100,7991342
2,backoff-25-100,7246397
2,backoff-25-100,8362643
2,backoff-25-100,6595941
2,backoff-25-100,6075931
2,backoff-25-100,7164563
2,backoff-25-100,8496387
2,backoff-25-100,7118808
2,backoff-25-100,7864094
2,backoff-25-100,5556182
2,backoff-25-100,4775376
2,backoff-25-100,4627250
2,backoff-25-100,6434053
2,backoff-25-100,3227062
2,backoff-25-100,4501716
2,backoff-25-100,3574735
2,backoff-25-100,3903337
2,backoff-25-100,3528223
2,backoff-25-100,2843451
2,backoff-25-100,2812851
2,backoff-25-100,3357439
2,backoff-25-100,2968420
2,backoff-25-100,3732709
2,backoff-25-100,3448434
2,backoff-25-100,3323298
4,backoff-25-100,13983202
4,backoff-25-100,9247067
4,backoff-25-100,10212760
4,backoff-25-100,8975132
4,backoff-25-100,10451028
4,backoff-25-100,9251474
4,backoff-25-100,10202163
4,backoff-25-100,8126237
4,backoff-25-100,10059638
4,backoff-25-100,9181680
4,backoff-25-100,9728337
4,backoff-25-100,9145503
4,backoff-25-100,9839751
4,backoff-25-100,8611101
4,backoff-25-100,10132921
4,backoff-25-100,8989797
4,backoff-25-100,10246955
4,backoff-25-100,8816145
4,backoff-25-100,10586452
4,backoff-25-100,9237464
4,backoff-25-100,10031538
4,backoff-25-100,8691856
4,backoff-25-100,9575909
4,backoff-25-100,8563263
4,backoff-25-100,9755992
4,backoff-25-100,8474289
4,backoff-25-100,10266758
4,backoff-25-100,8926798
4,backoff-25-100,10007289
4,backoff-25-100,8256060
4,backoff-25-100,9906104
4,backoff-25-100,9151305
4,backoff-25-100,9967498
4,backoff-25-100,9080929
4,backoff-25-100,11071145
4,backoff-25-100,9139282
4,backoff-25-100,10191222
4,backoff-25-100,8605052
4,backoff-25-100,9756786
4,backoff-25-100,8964717
4,backoff-25-100,10100157
4,backoff-25-100,9320875
4,backoff-25-100,9835852
4,backoff-25-100,8680674
4,backoff-25-100,10058540
4,backoff-25-100,9386487
4,backoff-25-100,10182373
4,backoff-25-100,8649442
4,backoff-25-100,10077046
4,backoff-25-100,8492340
