jobs,lock,runtime_ns
1,backoff-200-1600,5149756
1,backoff-200-1600,4951009
1,backoff-200-1600,4944895
1,backoff-200-1600,4916706
1,backoff-200-1600,4937161
1,backoff-200-1600,4931579
1,backoff-200-1600,4932218
1,backoff-200-1600,4922523
1,backoff-200-1600,4909023
1,backoff-200-1600,4942919
1,backoff-200-1600,4934603
1,backoff-200-1600,4950210
1,backoff-200-1600,4954218
1,backoff-200-1600,4952854
1,backoff-200-1600,4959069
1,backoff-200-1600,4954552
1,backoff-200-1600,4913682
1,backoff-200-1600,4947815
1,backoff-200-1600,4956622
1,backoff-200-1600,4951530
1,backoff-200-1600,4960903
1,backoff-200-1600,4949069
1,backoff-200-1600,4952660
1,backoff-200-1600,4951904
1,backoff-200-1600,4979125
1,backoff-200-1600,4949335
1,backoff-200-1600,4951515
1,backoff-200-1600,4948054
1,backoff-200-1600,4949743
1,backoff-200-1600,4948076
1,backoff-200-1600,4959517
1,backoff-200-1600,4969213
1,backoff-200-1600,4973120
1,backoff-200-1600,4977890
1,backoff-200-1600,4974228
1,backoff-200-1600,4917749
1,backoff-200-1600,5006293
1,backoff-200-1600,4905346
1,backoff-200-1600,4946049
1,backoff-200-1600,4873484
1,backoff-200-1600,4922934
1,backoff-200-1600,4904186
1,backoff-200-1600,4953232
1,backoff-200-1600,4914716
1,backoff-200-1600,4906779
1,backoff-200-1600,4901812
1,backoff-200-1600,4950260
1,backoff-200-1600,4907938
1,backoff-200-1600,4952352
1,backoff-200-1600,4954435
2,backoff-200-1600,10861491
2,backoff-200-1600,11980065
2,backoff-200-1600,10774011
2,backoff-200-1600,12017218
2,backoff-200-1600,8661849
2,backoff-200-1600,6151652
2,backoff-200-1600,4083465
2,backoff-200-1600,4328990
2,backoff-200-1600,4087233
2,backoff-200-1600,4282342
2,backoff-200-1600,4120322
2,backoff-200-1600,4460978
2,backoff-200-1600,4206560
2,backoff-200-1600,4423299
2,backoff-200-1600,4016502
2,backoff-200-1600,4125952
2,backoff-200-1600,4323942
2,backoff-200-1600,4213800
2,backoff-200-1600,4082154
2,backoff-200-1600,4687767
2,backoff-200-1600,4172251
2,backoff-200-1600,4674688
2,backoff-200-1600,3739592
2,backoff-200-1600,3572991
2,backoff-200-1600,2849766
2,backoff-200-1600,2849973
2,backoff-200-1600,2492466
2,backoff-200-1600,2534252
2,backoff-200-1600,2220754
2,backoff-200-1600,2268564
2,backoff-200-1600,2013439
2,backoff-200-1600,2020526
2,backoff-200-1600,1950021
2,backoff-200-1600,1959936
2,backoff-200-1600,1911838
2,backoff-200-1600,1928946
2,backoff-200-1600,1879792
2,backoff-200-1600,1941533
2,backoff-200-1600,1878652
2,backoff-200-1600,1934536
2,backoff-200-1600,1911139
2,backoff-200-1600,1890023
2,backoff-200-1600,1904390
2,backoff-200-1600,1992083
2,backoff-200-1600,1952950
2,backoff-200-1600,2013149
2,backoff-200-1600,1917804
2,backoff-200-1600,1959989
2,backoff-200-1600,1862158
2,backoff-200-1600,1958152
4,backoff-200-1600,3957540
4,backoff-200-1600,4553733
4,backoff-200-1600,3884482
4,backoff-200-1600,4572919
4,backoff-200-1600,3935078
4,backoff-200-1600,4469694
4,backoff-200-1600,3919488
4,backoff-200-1600,4492739
4,backoff-200-1600,3909959
4,backoff-200-1600,4413222
4,backoff-200-1600,3887643
4,backoff-200-1600,4440864
4,backoff-200-1600,3858280
4,backoff-200-1600,4426986
4,backoff-200-1600,3864782
4,backoff-200-1600,4455073
4,backoff-200-1600,3866900
4,backoff-200-1600,4495861
4,backoff-200-1600,3889515
4,backoff-200-1600,4484569
4,backoff-200-1600,3920857
4,backoff-200-1600,4424424
4,backoff-200-1600,3924912
4,backoff-200-1600,4534116
4,backoff-200-1600,3918544
4,backoff-200-1600,4409763
4,backoff-200-1600,3893528
4,backoff-200-1600,4479096
4,backoff-200-1600,3901025
4,backoff-200-1600,4471648
4,backoff-200-1600,3893380
4,backoff-200-1600,4372980
4,backoff-200-1600,3905158
4,backoff-200-1600,4395033
4,backoff-200-1600,3775346
4,backoff-200-1600,4317201
4,backoff-200-1600,3816711
4,backoff-200-1600,4550813
4,backoff-200-1600,3861269
4,backoff-200-1600,4454517
4,backoff-200-1600,3867085
4,backoff-200-1600,4462898
4,backoff-200-1600,3903501
4,backoff-200-1600,4532319
4,backoff-200-1600,3888465
4,backoff-200-1600,4471775
4,backoff-200-1600,3893329
4,backoff-200-1600,4491004
4,backoff-200-1600,3818609
4,backoff-200-1600,4501490
6,backoff-200-1600,6322838
6,backoff-200-1600,7343831
6,backoff-200-1600,6164172
6,backoff-200-1600,7284069
6,backoff-200-1600,6126873
6,backoff-200-1600,7318148
6,backoff-200-1600,6137571
6,backoff-200-1600,7321493
6,backoff-200-1600,6134204
6,backoff-200-1600,7278568
6,backoff-200-1600,6226790
6,backoff-200-1600,7196922
6,backoff-200-1600,6173405
6,backoff-200-1600,7345543
6,backoff-200-1600,6253177
6,backoff-200-1600,7235823
6,backoff-200-1600,6147780
6,backoff-200-1600,7416001
6,backoff-200-1600,6238983
6,backoff-200-1600,7292962
6,backoff-200-1600,6142324
6,backoff-200-1600,7276019
6,backoff-200-1600,6271322
6,backoff-200-1600,7240930
6,backoff-200-1600,6174317
6,backoff-200-1600,7303566
6,backoff-200-1600,6243284
6,backoff-200-1600,7259385
6,backoff-200-1600,6113888
6,backoff-200-1600,7322183
6,backoff-200-1600,6187314
