jobs,lock,runtime_ns
1,alog,649117
1,alog,500594
1,alog,567409
1,alog,499771
1,alog,575836
1,alog,496523
1,alog,558618
1,alog,503845
1,alog,557457
1,alog,585636
1,alog,528197
1,alog,553906
1,alog,500086
1,alog,578901
1,alog,500044
1,alog,575413
1,alog,499631
1,alog,585746
1,alog,499026
1,alog,583707
1,alog,585965
1,alog,529643
1,alog,579852
1,alog,499519
1,alog,574159
1,alog,498470
1,alog,573463
1,alog,501149
1,alog,577813
1,alog,503087
1,alog,600010
1,alog,585690
1,alog,528232
1,alog,588410
1,alog,527997
1,alog,575668
1,alog,527871
1,alog,590528
1,alog,506135
1,alog,518680
1,alog,596715
1,alog,528002
1,alog,586000
1,alog,530834
1,alog,586573
1,alog,527649
1,alog,514912
1,alog,505759
1,alog,524029
1,alog,502101
2,alog,20024437
2,alog,20547098
2,alog,15128136
2,alog,19018479
2,alog,16089493
2,alog,19896989
2,alog,19196249
2,alog,19714114
2,alog,16225722
2,alog,19855611
2,alog,15431759
2,alog,19463185
2,alog,16204333
2,alog,19789920
2,alog,17581013
2,alog,19925621
2,alog,17101297
2,alog,18865354
2,alog,19436107
2,alog,19497548
2,alog,14963237
2,alog,19244409
2,alog,16263096
2,alog,20816598
2,alog,16632563
2,alog,19898119
2,alog,16451129
2,alog,21143616
2,alog,17647083
2,alog,20694886
2,alog,15767579
2,alog,20937693
2,alog,16762857
2,alog,19235024
2,alog,16264165
2,alog,18539646
2,alog,17582960
2,alog,19867942
2,alog,15680305
2,alog,19639263
2,alog,17379693
2,alog,20519485
2,alog,16855535
2,alog,19510865
2,alog,17382928
2,alog,18976889
2,alog,16089464
2,alog,19003030
2,alog,16738082
2,alog,19095617
4,alog,51016013
4,alog,46696753
4,alog,55788868
4,alog,46627182
4,alog,51093592
4,alog,47362611
4,alog,54570870
4,alog,46147010
4,alog,52192092
4,alog,47281178
4,alog,50945767
4,alog,54300079
4,alog,50206371
4,alog,47921841
4,alog,50495624
4,alog,59863620
4,alog,47314444
4,alog,51298526
4,alog,50367973
4,alog,58591694
4,alog,47424828
4,alog,48590519
4,alog,48972678
4,alog,53458734
4,alog,59274885
4,alog,44110139
4,alog,48081107
4,alog,48877773
4,alog,56787708
4,alog,46834541
4,alog,51800885
4,alog,55329904
4,alog,51903206
4,alog,57324369
4,alog,51661077
4,alog,53117579
4,alog,50273469
4,alog,57792811
4,alog,48145671
4,alog,52320995
4,alog,45105478
4,alog,55730794
4,alog,50013220
4,alog,50726102
4,alog,52701271
4,alog,45048424
4,alog,57385472
4,alog,48454068
4,alog,48749853
4,alog,51955820
6,alog,89310319
6,alog,94785072
6,alog,97958416
6,alog,101114902
6,alog,97015709
6,alog,80592193
6,alog,92292039
6,alog,82663990
6,alog,82373756
6,alog,85891593
6,alog,77362410
6,alog,81204501
6,alog,84846807
6,alog,99890925
6,alog,96472399
6,alog,86971855
6,alog,94341124
6,alog,88201156
6,alog,90491131
6,alog,96892837
6,alog,88077259
6,alog,97781761
6,alog,86020002
6,alog,94053416
6,alog,97350963
6,alog,84801957
6,alog,99453735
6,alog,82593104
6,alog,91103271
6,alog,110018867
6,alog,90755481
6,alog,87854179
6,alog,95231316
6,alog,86955738
6,alog,96890967
6,alog,94548704
6,alog,87960578
6,alog,85329467
6,alog,86821042
6,alog,91265570
6,alog,78330356
6,alog,82639827
6,alog,90949628
6,alog,81940815
6,alog,91942068
6,alog,76501381
6,alog,78012153
6,alog,88160352
6,alog,82820134
6,alog,91957444
8,alog,117513561
8,alog,120989206
8,alog,103492375
8,alog,116542135
8,alog,102604058
8,alog,109464525
8,alog,99285678
8,alog,98813223
8,alog,99207381
8,alog,99692447
8,alog,106759132
8,alog,112853153
8,alog,105493581
8,alog,110545942
8,alog,104371633
8,alog,124349202
8,alog,104253529
8,alog,133992754
8,alog,98892869
8,alog,126789529
8,alog,108418295
8,alog,121684783
8,alog,109688537
8,alog,116155388
8,alog,108412648
8,alog,117540292
8,alog,104026230
8,alog,102192550
8,alog,117756220
8,alog,109921592
8,alog,108471998
8,alog,131274515
8,alog,100983518
8,alog,123824706
8,alog,107539275
8,alog,120474936
8,alog,107389302
8,alog,109068692
8,alog,109066928
8,alog,113261480
8,alog,107295368
8,alog,111181571
8,alog,108144875
8,alog,106084294
8,alog,102115183
8,alog,102754527
8,alog,101322108
8,alog,99828227
8,alog,110491545
8,alog,106232282
10,alog,199616185
10,alog,210238024
10,alog,171896664
10,alog,185798850
10,alog,185100698
10,alog,192022011
10,alog,187239245
10,alog,188918285
10,alog,190551128
10,alog,188314291
10,alog,191461636
10,alog,180720152
10,alog,188970040
10,alog,189146041
10,alog,189926055
10,alog,197346711
10,alog,188578027
10,alog,187088846
10,alog,190621196
10,alog,172135667
10,alog,175821229
10,alog,170434604
10,alog,174467783
10,alog,193540121
10,alog,190562493
10,alog,192641265
10,alog,186729924
10,alog,188463096
10,alog,187197896
10,alog,183183028
10,alog,189763832
10,alog,190554738
10,alog,183454940
10,alog,187978625
10,alog,188003689
10,alog,189553478
10,alog,190125986
10,alog,173657150
10,alog,181687852
10,alog,192501092
10,alog,179370947
10,alog,185065404
10,alog,188567864
10,alog,168587272
10,alog,185148249
10,alog,190884872
10,alog,171843439
10,alog,185239853
10,alog,193814684
10,alog,183501801
1,aq,2416386
1,aq,2372679
1,aq,2425511
1,aq,2385685
1,aq,2407055
1,aq,2369192
1,aq,2371666
1,aq,2442821
1,aq,2421780
1,aq,2413186
1,aq,2376262
1,aq,2370645
1,aq,2399588
1,aq,2362427
1,aq,2385582
1,aq,2321229
1,aq,2359037
