jobs,lock,runtime_ns
1,backoff-50-400,1040964
1,backoff-50-400,975248
1,backoff-50-400,991424
1,backoff-50-400,970046
1,backoff-50-400,981433
1,backoff-50-400,988614
1,backoff-50-400,980640
1,backoff-50-400,985670
1,backoff-50-400,969478
1,backoff-50-400,971248
1,backoff-50-400,947105
1,backoff-50-400,948641
1,backoff-50-400,946314
1,backoff-50-400,974532
1,backoff-50-400,984915
1,backoff-50-400,984463
1,backoff-50-400,985760
1,backoff-50-400,991328
1,backoff-50-400,985778
1,backoff-50-400,985771
1,backoff-50-400,983224
1,backoff-50-400,981661
1,backoff-50-400,975494
1,backoff-50-400,993097
1,backoff-50-400,988546
1,backoff-50-400,972059
1,backoff-50-400,988063
1,backoff-50-400,990168
1,backoff-50-400,955119
1,backoff-50-400,993809
1,backoff-50-400,992482
1,backoff-50-400,972487
1,backoff-50-400,967109
1,backoff-50-400,962586
1,backoff-50-400,959941
1,backoff-50-400,979895
1,backoff-50-400,951789
1,backoff-50-400,953581
1,backoff-50-400,933233
1,backoff-50-400,967737
1,backoff-50-400,969399
1,backoff-50-400,983963
1,backoff-50-400,972693
1,backoff-50-400,938851
1,backoff-50-400,933525
1,backoff-50-400,971075
1,backoff-50-400,973981
1,backoff-50-400,970678
1,backoff-50-400,968626
1,backoff-50-400,965855
2,backoff-50-400,2123376
2,backoff-50-400,2137202
2,backoff-50-400,2102745
2,backoff-50-400,2559341
2,backoff-50-400,2350177
2,backoff-50-400,2674683
2,backoff-50-400,2477783
2,backoff-50-400,2923693
2,backoff-50-400,2415344
2,backoff-50-400,2571676
2,backoff-50-400,2669802
2,backoff-50-400,2870667
2,backoff-50-400,2738297
2,backoff-50-400,3468040
2,backoff-50-400,2648111
2,backoff-50-400,3212698
2,backoff-50-400,2876004
2,backoff-50-400,2953212
2,backoff-50-400,2749751
2,backoff-50-400,3309815
2,backoff-50-400,2649954
2,backoff-50-400,3143019
2,backoff-50-400,2752994
2,backoff-50-400,3139463
2,backoff-50-400,2746734
2,backoff-50-400,3281607
2,backoff-50-400,2750343
2,backoff-50-400,3110489
2,backoff-50-400,2865155
2,backoff-50-400,3284255
2,backoff-50-400,2931141
2,backoff-50-400,3196781
2,backoff-50-400,2941756
2,backoff-50-400,3222418
2,backoff-50-400,3085231
2,backoff-50-400,3124255
2,backoff-50-400,3115000
2,backoff-50-400,3222138
2,backoff-50-400,2781952
2,backoff-50-400,3354319
2,backoff-50-400,2786344
2,backoff-50-400,3364776
2,backoff-50-400,2729716
2,backoff-50-400,3237640
2,backoff-50-400,2737578
2,backoff-50-400,3159815
2,backoff-50-400,2750872
2,backoff-50-400,3177909
2,backoff-50-400,2702326
2,backoff-50-400,3290396
4,backoff-50-400,7389180
4,backoff-50-400,10614016
4,backoff-50-400,5889851
4,backoff-50-400,7105467
4,backoff-50-400,5433730
4,backoff-50-400,6914746
4,backoff-50-400,4943733
4,backoff-50-400,6926583
4,backoff-50-400,5562505
4,backoff-50-400,6811510
4,backoff-50-400,5550297
4,backoff-50-400,7091470
4,backoff-50-400,4884369
4,backoff-50-400,6847123
4,backoff-50-400,4715549
4,backoff-50-400,6687132
4,backoff-50-400,4863772
4,backoff-50-400,6765820
4,backoff-50-400,4865896
4,backoff-50-400,6888261
4,backoff-50-400,4741678
4,backoff-50-400,6758289
4,backoff-50-400,5412372
4,backoff-50-400,6681494
4,backoff-50-400,5626822
4,backoff-50-400,6795717
4,backoff-50-400,5520513
4,backoff-50-400,6668913
4,backoff-50-400,5377287
4,backoff-50-400,6771785
4,backoff-50-400,5008540
4,backoff-50-400,6742433
4,backoff-50-400,5459392
4,backoff-50-400,6860698
4,backoff-50-400,5612266
4,backoff-50-400,6731836
4,backoff-50-400,5508110
4,backoff-50-400,6614528
4,backoff-50-400,5551017
4,backoff-50-400,6796255
4,backoff-50-400,5610933
4,backoff-50-400,6946951
4,backoff-50-400,4807801
4,backoff-50-400,6713126
4,backoff-50-400,5319482
4,backoff-50-400,6572436
4,backoff-50-400,5645591
4,backoff-50-400,6708703
4,backoff-50-400,4796005
4,backoff-50-400,6770978
6,backoff-50-400,9470048
6,backoff-50-400,13921281
6,backoff-50-400,9589514
6,backoff-50-400,13969152
6,backoff-50-400,9332342
6,backoff-50-400,15449647
6,backoff-50-400,10076679
6,backoff-50-400,14076004
6,backoff-50-400,9263066
6,backoff-50-400,13959842
6,backoff-50-400,9405338
6,backoff-50-400,13983208
6,backoff-50-400,9466773
6,backoff-50-400,13924664
6,backoff-50-400,9424051
6,backoff-50-400,14144196
6,backoff-50-400,9308599
6,backoff-50-400,13994502
6,backoff-50-400,9340493
6,backoff-50-400,13934521
6,backoff-50-400,9418634
6,backoff-50-400,13698974
6,backoff-50-400,9467030
6,backoff-50-400,13670473
6,backoff-50-400,9510957
6,backoff-50-400,13887104
6,backoff-50-400,9505919
6,backoff-50-400,13843056
6,backoff-50-400,9526198
6,backoff-50-400,14025422
6,backoff-50-400,9352983
6,backoff-50-400,13993151
6,backoff-50-400,9205134
6,backoff-50-400,13894383
6,backoff-50-400,9462243
6,backoff-50-400,14096380
6,backoff-50-400,9413377
6,backoff-50-400,14027971
6,backoff-50-400,9344164
6,backoff-50-400,13940226
6,backoff-50-400,9545409
6,backoff-50-400,14002499
6,backoff-50-400,9414455
6,backoff-50-400,14225630
6,backoff-50-400,9266079
6,backoff-50-400,13760066
6,backoff-50-400,9414731
6,backoff-50-400,13956243
6,backoff-50-400,9424253
6,backoff-50-400,14056378
8,backoff-50-400,18399462
8,backoff-50-400,19223547
8,backoff-50-400,21431811
8,backoff-50-400,19246502
8,backoff-50-400,21417269
8,backoff-50-400,19433315
8,backoff-50-400,21546738
8,backoff-50-400,19224466
8,backoff-50-400,21324497
8,backoff-50-400,19173638
8,backoff-50-400,16025129
8,backoff-50-400,19826731
8,backoff-50-400,21072612
8,backoff-50-400,21166618
8,backoff-50-400,22569352
8,backoff-50-400,19088593
8,backoff-50-400,21104738
8,backoff-50-400,19225824
8,backoff-50-400,17809805
8,backoff-50-400,20194393
8,backoff-50-400,21290069
8,backoff-50-400,19464297
8,backoff-50-400,21542049
8,backoff-50-400,20337309
8,backoff-50-400,21472153
8,backoff-50-400,19829381
8,backoff-50-400,21545571
8,backoff-50-400,19742101
8,backoff-50-400,21449796
8,backoff-50-400,19120777
8,backoff-50-400,21215376
8,backoff-50-400,19859977
8,backoff-50-400,20986140
8,backoff-50-400,19794187
8,backoff-50-400,20995534
8,backoff-50-400,18949119
8,backoff-50-400,21538797
8,backoff-50-400,19714520
8,backoff-50-400,21699006
8,backoff-50-400,18982318
8,backoff-50-400,17411667
8,backoff-50-400,19327477
8,backoff-50-400,21498145
8,backoff-50-400,19948046
8,backoff-50-400,21009424
8,backoff-50-400,19939038
8,backoff-50-400,21457685
8,backoff-50-400,18947119
8,backoff-50-400,21442680
8,backoff-50-400,19549212
10,backoff-50-400,34613760
10,backoff-50-400,31545671
10,backoff-50-400,36672042
10,backoff-50-400,31633940
10,backoff-50-400,37052408
10,backoff-50-400,31455544
10,backoff-50-400,36752375
10,backoff-50-400,31480757
10,backoff-50-400,34385336
10,backoff-50-400,34067030
10,backoff-50-400,37519041
10,backoff-50-400,31974014
10,backoff-50-400,38527572
10,backoff-50-400,31747516
10,backoff-50-400,36570969
10,backoff-50-400,31461312
10,backoff-50-400,36681011
10,backoff-50-400,31198581
10,backoff-50-400,36594548
10,backoff-50-400,31523866
10,backoff-50-400,33537242
10,backoff-50-400,31519592
10,backoff-50-400,36576010
10,backoff-50-400,31658535
10,backoff-50-400,37081123
10,backoff-50-400,31393540
10,backoff-50-400,36908302
10,backoff-50-400,31696418
10,backoff-50-400,37240151
10,backoff-50-400,31067326
10,backoff-50-400,36238229
10,backoff-50-400,31437888
10,backoff-50-400,37698445
10,backoff-50-400,31435947
10,backoff-50-400,37631479
10,backoff-50-400,31487594
10,backoff-50-400,36403927
10,backoff-50-400,30890801
10,backoff-50-400,36730023
10,backoff-50-400,31570899
10,backoff-50-400,36155476
10,backoff-50-400,31482021
10,backoff-50-400,37102674
10,backoff-50-400,31626423
10,backoff-50-400,36854783
10,backoff-50-400,31188951
10,backoff-50-400,37564341
10,backoff-50-400,31379628
10,backoff-50-400,36909604
10,backoff-50-400,30672009
