lock_a,!=,<,>,lock_b,jobs
alog,True,True,False,aq,1
alog,True,True,False,aq,2
alog,True,False,True,aq,4
alog,True,False,True,aq,6
alog,True,False,True,aq,8
alog,True,False,True,aq,10
alog,True,True,False,atomic,1
alog,True,False,True,atomic,2
alog,True,False,True,atomic,4
alog,True,False,True,atomic,6
alog,True,False,True,atomic,8
alog,True,False,True,atomic,10
alog,True,True,False,backoff-1000-8000,1
alog,True,False,True,backoff-1000-8000,2
alog,True,False,True,backoff-1000-8000,4
alog,True,False,True,backoff-1000-8000,6
alog,True,False,True,backoff-1000-8000,8
alog,True,False,True,backoff-1000-8000,10
alog,True,True,False,mcs,1
alog,True,True,False,mcs,2
alog,True,False,True,mcs,4
alog,True,False,True,mcs,6
alog,True,False,True,mcs,8
alog,True,False,True,mcs,10
alog,True,True,False,tas,1
alog,True,False,True,tas,2
alog,True,True,False,tas,4
alog,True,True,False,tas,6
alog,True,True,False,tas,8
alog,True,True,False,tas,10
alog,True,True,False,ttas,1
alog,True,False,True,ttas,2
alog,True,True,False,ttas,4
alog,True,True,False,ttas,6
alog,True,True,False,ttas,8
alog,True,False,True,ttas,10
aq,True,False,True,alog,1
aq,True,False,True,alog,2
aq,True,True,False,alog,4
aq,True,True,False,alog,6
aq,True,True,False,alog,8
aq,True,True,False,alog,10
aq,True,False,True,atomic,1
aq,True,False,True,atomic,2
aq,True,False,True,atomic,4
aq,True,False,True,atomic,6
aq,True,False,True,atomic,8
aq,True,False,True,atomic,10
aq,True,False,True,backoff-1000-8000,1
aq,True,False,True,backoff-1000-8000,2
aq,True,False,True,backoff-1000-8000,4
aq,True,False,True,backoff-1000-8000,6
aq,True,False,True,backoff-1000-8000,8
aq,True,False,True,backoff-1000-8000,10
aq,True,False,True,mcs,1
aq,True,True,False,mcs,2
aq,True,False,True,mcs,4
aq,True,False,True,mcs,6
aq,True,False,True,mcs,8
aq,True,False,True,mcs,10
aq,True,False,True,tas,1
aq,True,False,True,tas,2
aq,True,True,False,tas,4
aq,True,True,False,tas,6
aq,True,True,False,tas,8
aq,True,True,False,tas,10
aq,True,True,False,ttas,1
aq,True,False,True,ttas,2
aq,True,True,False,ttas,4
