jobs,lock,runtime_ns
1,mcs,1311138
1,mcs,1298705
1,mcs,1322664
1,mcs,1380167
1,mcs,1310901
1,mcs,1389429
1,mcs,1317266
1,mcs,1335352
1,mcs,1358601
1,mcs,1300739
1,mcs,1277940
1,mcs,1302844
1,mcs,1258463
1,mcs,1299962
1,mcs,1279719
1,mcs,1308032
1,mcs,1276597
1,mcs,1303820
1,mcs,1275910
1,mcs,1299439
1,mcs,1276317
1,mcs,1306307
1,mcs,1281160
1,mcs,1300243
1,mcs,1251206
1,mcs,1314873
1,mcs,1274972
1,mcs,1301360
1,mcs,1282073
1,mcs,1270314
1,mcs,1277062
1,mcs,1309198
1,mcs,1284180
1,mcs,1307773
1,mcs,1276481
1,mcs,1301042
1,mcs,1313522
1,mcs,1300400
1,mcs,1280174
1,mcs,1301692
1,mcs,1276375
1,mcs,1301721
1,mcs,1283099
1,mcs,1303781
1,mcs,1278067
1,mcs,1337534
1,mcs,1289272
1,mcs,1303286
1,mcs,1282258
1,mcs,1301722
2,mcs,20028233
2,mcs,20148717
2,mcs,23801482
2,mcs,25139173
2,mcs,26846081
2,mcs,27247813
2,mcs,23789027
2,mcs,21526858
2,mcs,18834108
2,mcs,19295438
2,mcs,19057099
2,mcs,19487080
2,mcs,18709743
2,mcs,19100557
2,mcs,18695615
2,mcs,18716208
2,mcs,19354702
2,mcs,17298023
2,mcs,20321938
2,mcs,17842855
2,mcs,18355981
2,mcs,17650608
2,mcs,18170886
2,mcs,17762153
2,mcs,20397373
2,mcs,17894203
2,mcs,19589795
2,mcs,17819096
2,mcs,20527821
2,mcs,17647771
2,mcs,20455421
2,mcs,17543939
2,mcs,18927844
2,mcs,19468621
2,mcs,18867181
2,mcs,19683953
2,mcs,18987344
2,mcs,19697486
2,mcs,19084100
2,mcs,18471186
2,mcs,19793504
2,mcs,18051195
2,mcs,20782894
2,mcs,17960939
2,mcs,20709993
2,mcs,17831446
2,mcs,20166733
2,mcs,18199000
2,mcs,20692073
2,mcs,17786113
4,mcs,41605217
4,mcs,39463979
4,mcs,39434768
4,mcs,38757735
4,mcs,40541458
4,mcs,38940049
4,mcs,40888713
4,mcs,38980078
4,mcs,39224226
4,mcs,39221721
4,mcs,39379714
4,mcs,38713067
4,mcs,39769441
4,mcs,40051937
4,mcs,39057174
4,mcs,38989999
4,mcs,39330955
4,mcs,38542516
4,mcs,40033877
4,mcs,41227330
4,mcs,39870914
4,mcs,39198883
4,mcs,39280716
4,mcs,39214122
4,mcs,40869225
4,mcs,39911561
4,mcs,39425048
4,mcs,39122603
4,mcs,39980417
4,mcs,39378617
4,mcs,39754188
4,mcs,39291049
4,mcs,39721329
4,mcs,39876817
4,mcs,40349463
4,mcs,39523057
4,mcs,40360204
4,mcs,39110984
4,mcs,40249178
4,mcs,39443060
4,mcs,39693662
4,mcs,39177244
4,mcs,40983594
4,mcs,39767630
4,mcs,41842624
4,mcs,38848426
4,mcs,41099822
4,mcs,39445277
4,mcs,41689532
4,mcs,39582146
6,mcs,61465587
6,mcs,61970745
6,mcs,61561767
6,mcs,61695574
6,mcs,61668290
6,mcs,62133745
6,mcs,61030092
6,mcs,61084424
6,mcs,60319907
6,mcs,62275471
6,mcs,61161128
6,mcs,61219124
6,mcs,60981833
6,mcs,61956606
6,mcs,60741018
6,mcs,61719748
6,mcs,60860344
6,mcs,61124834
6,mcs,60406172
6,mcs,61613777
6,mcs,62795997
6,mcs,61825827
6,mcs,60262682
6,mcs,60888204
6,mcs,61949868
6,mcs,61729335
6,mcs,60853801
6,mcs,60635551
6,mcs,62362461
6,mcs,61691839
6,mcs,61952543
6,mcs,61085185
6,mcs,61753022
6,mcs,62055138
6,mcs,61838705
6,mcs,61397026
6,mcs,61087602
6,mcs,61784486
6,mcs,60398382
6,mcs,60826398
6,mcs,61616837
6,mcs,60299677
6,mcs,61712360
6,mcs,61817422
6,mcs,61217643
6,mcs,61458842
6,mcs,62614187
6,mcs,62303972
6,mcs,62750764
6,mcs,60528122
8,mcs,74616238
8,mcs,82902987
8,mcs,86753656
8,mcs,69816218
8,mcs,78783989
8,mcs,78656967
8,mcs,69264792
8,mcs,83794788
8,mcs,84850917
8,mcs,83689594
8,mcs,77858539
8,mcs,79488514
8,mcs,87309124
8,mcs,78425413
8,mcs,79812220
8,mcs,88128389
8,mcs,79615722
8,mcs,79746428
8,mcs,75046633
8,mcs,87545850
8,mcs,70320669
8,mcs,84055650
8,mcs,81868866
8,mcs,72528565
8,mcs,83645659
8,mcs,80522772
8,mcs,77078084
8,mcs,87588765
8,mcs,86399080
8,mcs,81109431
8,mcs,79827384
8,mcs,75003202
8,mcs,86100704
8,mcs,86950105
8,mcs,83951815
8,mcs,76701115
8,mcs,87079049
8,mcs,78387319
8,mcs,77548344
8,mcs,80188176
8,mcs,84100213
8,mcs,77516305
8,mcs,85363629
8,mcs,83435362
8,mcs,87333552
8,mcs,70195260
8,mcs,86780157
8,mcs,78795684
8,mcs,84733152
8,mcs,80017069
10,mcs,127032651
10,mcs,89202923
10,mcs,108976344
10,mcs,96289761
10,mcs,91225760
10,mcs,92746791
