jobs,lock,runtime_ns
1,tas,1328525
1,tas,1305777
1,tas,1248776
1,tas,1318554
1,tas,1314623
1,tas,1338481
1,tas,1311293
1,tas,1454059
1,tas,1411288
1,tas,1445349
1,tas,1484130
1,tas,1565853
1,tas,1528070
1,tas,1616257
1,tas,1648333
1,tas,1707531
1,tas,1737575
1,tas,1883328
1,tas,1833531
1,tas,2022065
1,tas,2040718
1,tas,2092222
1,tas,2042414
1,tas,2090304
1,tas,2051053
1,tas,2087761
1,tas,2044407
1,tas,2084977
1,tas,2041605
1,tas,2355050
1,tas,2317978
1,tas,2346428
1,tas,2321010
1,tas,2357699
1,tas,2304695
1,tas,2347718
1,tas,2305578
1,tas,2345826
1,tas,2317728
1,tas,2345389
1,tas,2303644
1,tas,2410082
1,tas,2654611
1,tas,2859263
1,tas,3124991
1,tas,3116488
1,tas,3125138
1,tas,3184465
1,tas,3176263
1,tas,3181043
2,tas,29549732
2,tas,22958892
2,tas,18002948
2,tas,21292354
2,tas,17873845
2,tas,21077574
2,tas,15407465
2,tas,18270340
2,tas,12870956
2,tas,15430872
2,tas,12562395
2,tas,14121957
2,tas,12350170
2,tas,15055438
2,tas,12333448
2,tas,14910916
2,tas,12264728
2,tas,15007580
2,tas,12406436
2,tas,15105315
2,tas,12318204
2,tas,14779304
2,tas,12468238
2,tas,14582953
2,tas,12480892
2,tas,14833557
2,tas,12618879
2,tas,14774527
2,tas,11759545
2,tas,14899727
2,tas,13148930
2,tas,14306681
2,tas,13247794
2,tas,13968191
2,tas,13072007
2,tas,14134127
2,tas,13263519
2,tas,14446837
2,tas,13244479
2,tas,14192701
2,tas,11834844
2,tas,13739056
2,tas,12031786
2,tas,13826210
2,tas,11928741
2,tas,14934567
2,tas,11931795
2,tas,13796183
2,tas,11950356
2,tas,13814638
4,tas,58153898
4,tas,97785716
4,tas,64189389
4,tas,97589635
4,tas,61293101
4,tas,97551922
4,tas,59401278
4,tas,79118217
4,tas,57232471
4,tas,96375947
4,tas,56892279
4,tas,95956332
4,tas,57422736
4,tas,97145384
4,tas,62489268
4,tas,97960238
4,tas,58149061
4,tas,95374251
4,tas,58026923
4,tas,97764774
4,tas,61285096
4,tas,96254330
4,tas,57524777
4,tas,93797784
4,tas,62699866
4,tas,96364396
4,tas,61263663
4,tas,97925292
4,tas,61079490
4,tas,98794809
4,tas,62145569
4,tas,98649199
4,tas,56859138
4,tas,96396330
4,tas,61110925
4,tas,96086296
4,tas,63080042
4,tas,95347281
4,tas,61647127
4,tas,93797847
4,tas,60948403
4,tas,96728522
4,tas,57349328
4,tas,95197946
4,tas,61439064
4,tas,94568853
4,tas,62523732
4,tas,96297973
4,tas,61885163
4,tas,95653659
6,tas,519864207
6,tas,416544895
6,tas,396211668
6,tas,768502642
6,tas,416332364
6,tas,365410372
6,tas,608815642
6,tas,736352103
6,tas,494877757
6,tas,562409340
6,tas,561847971
6,tas,423793799
6,tas,424795131
6,tas,373803056
6,tas,551171834
6,tas,360122832
6,tas,579765211
6,tas,365954635
6,tas,506850968
6,tas,486105092
6,tas,492839688
6,tas,395655794
6,tas,359317206
6,tas,415163023
6,tas,500457543
6,tas,383213648
6,tas,529696252
6,tas,660903971
6,tas,471649252
6,tas,695056510
6,tas,515464672
6,tas,353742177
6,tas,408515941
6,tas,419119188
6,tas,482805921
6,tas,600994609
6,tas,369469393
6,tas,378553572
6,tas,459345472
6,tas,395374001
6,tas,446066777
6,tas,483801043
6,tas,401278156
6,tas,451826407
6,tas,559457350
6,tas,406299932
6,tas,551814223
6,tas,465915290
6,tas,529622231
6,tas,409391940
8,tas,681611812
8,tas,235521870
8,tas,634061127
8,tas,488351982
8,tas,521402539
8,tas,668258140
8,tas,394470188
8,tas,502727012
8,tas,309414955
8,tas,338288603
8,tas,786459530
8,tas,691305390
8,tas,907905164
8,tas,266205529
8,tas,825097294
8,tas,419426601
8,tas,245067094
8,tas,650582514
8,tas,483082211
8,tas,267518327
8,tas,647805100
8,tas,253220440
8,tas,486175437
8,tas,786801331
8,tas,528990844
8,tas,731415728
8,tas,521268295
8,tas,284624925
8,tas,257831684
8,tas,771812589
8,tas,448720301
8,tas,505205908
8,tas,427207788
8,tas,926562255
8,tas,628770508
8,tas,327520207
8,tas,679738917
8,tas,733084381
8,tas,807889499
8,tas,260795836
8,tas,959804176
8,tas,438332618
8,tas,364755566
8,tas,706645509
8,tas,348178609
8,tas,514106155
8,tas,293832978
8,tas,463566760
8,tas,265311378
8,tas,278357482
10,tas,463435915
10,tas,334510352
10,tas,616045086
10,tas,375479726
10,tas,383021550
10,tas,309822322
10,tas,369118768
10,tas,531283137
10,tas,307180072
10,tas,358515205
10,tas,502947858
10,tas,375931158
10,tas,403466077
10,tas,428417065
10,tas,379248192
10,tas,691963978
10,tas,302744959
10,tas,384255943
10,tas,403517227
10,tas,350148341
10,tas,409896114
10,tas,601777961
10,tas,377701613
10,tas,342179960
10,tas,340400113
10,tas,438151378
10,tas,385938171
10,tas,362217223
10,tas,318276209
10,tas,490499140
10,tas,345618465
10,tas,690535772
10,tas,451028159
10,tas,695110309
10,tas,358797079
10,tas,818032365
10,tas,366703572
10,tas,322811540
10,tas,534406554
10,tas,298949344
10,tas,380118374
10,tas,314281483
10,tas,414427737
10,tas,352222116
10,tas,313044942
10,tas,364718087
10,tas,310233262
10,tas,813019869
10,tas,474817557
10,tas,349359368
