jobs,lock,runtime_ns
1,ttas,5093544
1,ttas,5013684
1,ttas,4969986
1,ttas,5083576
1,ttas,4961340
1,ttas,5091629
1,ttas,5003163
1,ttas,5099019
1,ttas,4989369
1,ttas,5057005
1,ttas,4958265
1,ttas,5105480
1,ttas,5000425
1,ttas,5090174
1,ttas,4958438
1,ttas,5049889
1,ttas,4991535
1,ttas,5072016
1,ttas,5009352
1,ttas,5090197
1,ttas,5025985
1,ttas,5057278
1,ttas,4968641
1,ttas,5056364
1,ttas,5016219
1,ttas,5085153
1,ttas,4993327
1,ttas,5077147
1,ttas,4983190
1,ttas,5071210
1,ttas,5000278
1,ttas,5073160
1,ttas,4995273
1,ttas,5064258
1,ttas,4969238
1,ttas,5040343
1,ttas,4967892
1,ttas,5035302
1,ttas,4978104
1,ttas,5071628
1,ttas,4989909
1,ttas,5091129
1,ttas,4963852
1,ttas,5070905
1,ttas,5018712
1,ttas,5047169
1,ttas,4958784
1,ttas,5075716
1,ttas,4961112
1,ttas,5045174
2,ttas,47033203
2,ttas,14846282
2,ttas,13353535
2,ttas,11196941
2,ttas,12642693
2,ttas,13030519
2,ttas,12664454
2,ttas,13310439
2,ttas,12943103
2,ttas,13953262
2,ttas,12514530
2,ttas,12171846
2,ttas,12500031
2,ttas,13303232
2,ttas,12464470
2,ttas,12377303
2,ttas,13037638
2,ttas,14469405
2,ttas,12639562
2,ttas,13529651
2,ttas,12997273
2,ttas,14897837
2,ttas,12771391
2,ttas,11063605
2,ttas,13335323
2,ttas,14118713
2,ttas,12472486
2,ttas,11839624
2,ttas,17830194
2,ttas,13562346
2,ttas,13079028
2,ttas,15286421
2,ttas,12986415
2,ttas,14527100
2,ttas,13046955
2,ttas,13228635
2,ttas,12512246
2,ttas,13477097
2,ttas,17893217
2,ttas,12935696
2,ttas,14030130
2,ttas,14455429
2,ttas,13143091
2,ttas,12791448
2,ttas,12963853
2,ttas,14846779
2,ttas,12654341
2,ttas,12495738
2,ttas,13029248
2,ttas,13264319
4,ttas,50373181
4,ttas,51121469
4,ttas,52737856
4,ttas,54023337
4,ttas,49184954
4,ttas,55181730
4,ttas,52529657
4,ttas,46933417
4,ttas,47571257
4,ttas,56288254
4,ttas,52005215
4,ttas,52495828
4,ttas,52376478
4,ttas,52509102
4,ttas,51661240
4,ttas,53036062
4,ttas,47131717
4,ttas,52995664
4,ttas,49470512
4,ttas,55384898
4,ttas,51385423
